구분,장소 설명,위도,경도
서울 용산구1,서울 용산구 이촌동(376 부근),37.5218,126.9686
서울 성동구1,서울 성동구 홍익동(청계9가교차로 부근),37.5704,127.0315
서울 성동구2,서울 성동구 성수동1가(경동초등학교입구교차로 부근),37.5492,127.0401
서울 동대문구1,서울 동대문구 청량리동(청량리역교차로 부근),37.5801,127.0483
서울 동대문구2,서울 동대문구 답십리동(밍글베이커리 부근),37.5684,127.0531
서울 동대문구3,서울 동대문구 용두동(화원 부근),37.5746,127.0374
서울 동대문구4,서울 동대문구 장안동(새일문유치원 부근),37.5755,127.0691
서울 동대문구5,서울 동대문구 용두동(동대문구청교차로 부근),37.5745,127.0396
서울 동대문구6,서울 동대문구 장안동(중경당약국 부근),37.5719,127.0689
서울 동대문구7,서울 동대문구 장안동(배봉초교교차로 부근),37.5815,127.0645
서울 동대문구8,서울 동대문구 장안동(한림약국 부근),37.5653,127.0655
서울 동대문구9,서울 동대문구 제기동(청량 종합도매시장 부근),37.5811,127.0422
서울 동대문구10,서울 동대문구 용두동(용두동사거리 부근),37.5746,127.0374
서울 동대문구11,서울 동대문구 장안동(동대문부대찌개 부근),37.5752,127.0664
서울 동대문구12,서울 동대문구 제기동(청량리청과물시장 부근),37.5819,127.0423
서울 중랑구1,서울 중랑구 상봉동(동부시장교차로 부근),37.5939,127.0827
서울 중랑구2,서울 중랑구 중화동(중화역교차로 부근),37.6022,127.0792
서울 중랑구3,서울 중랑구 중화동(기영이숯불두마리치킨 중랑중화점 부근),37.599,127.0811
서울 중랑구4,서울 중랑구 면목동(중랑천제방산책로 부근),37.5875,127.0772
서울 중랑구5,서울 중랑구 상봉동(동일로지하차도 부근),37.5921,127.0863
서울 중랑구6,서울 중랑구 중화동(한내들어린이집 부근),37.6046,127.0768
서울 성북구1,서울 성북구 하월곡동(월곡플러스약국 부근),37.6033,127.0416
서울 강북구1,서울 강북구 번동(강북구청사거리 부근),37.6385,127.0256
서울 강북구2,서울 강북구 미아동(미아사거리역 4호선 부근),37.6141,127.0302
서울 강북구3,서울 강북구 미아동(수유사거리 부근),37.6335,127.0258
서울 도봉구1,서울 도봉구 도봉동(늘푸른약국 부근),37.6853,127.0468
서울 도봉구2,서울 도봉구 도봉동(노원교교차로 부근),37.6749,127.0515
서울 노원구1,서울 노원구 상계동(908-15 부근),37.6756,127.0747
서울 노원구2,"서울 노원구 상계동(상계6,7동주민센터교차로 부근)",37.676,127.0734
서울 노원구3,서울 노원구 하계동(월계1교교차로 부근),37.6322,127.0707
서울 노원구4,서울 노원구 중계동(서울중계초등학교 부근),37.6536,127.0776
서울 노원구5,서울 노원구 중계동(중계우리들약국 부근),37.6493,127.0754
