대여소번호,count
502,58492
207,55563
2715,50795
2102,49286
1210,45761
2177,43821
247,41830
583,40140
1153,39937
770,39515
3533,39283
565,39210
1158,38351
230,38339
272,38159
2622,37205
1911,37061
210,36462
1906,36173
1152,35712
2183,35675
2173,34523
1124,33495
152,33404
2701,33384
646,33270
765,32708
2728,32159
3511,32158
907,30926
2219,30808
1637,30764
2620,30303
274,30069
703,30058
1149,29640
1009,29344
792,29261
1608,29026
1211,28513
228,28453
1112,28390
1125,28114
1308,27902
785,27835
1961,27679
1625,27585
2262,27382
589,27370
3010,27276
602,27122
262,27037
1044,26987
1295,26893
1050,26819
102,26782
202,26776
1166,26461
1268,26428
996,26387
853,26241
769,26179
585,25898
509,25722
1925,25716
144,25655
431,25559
1117,25447
263,25303
117,25271
3518,25174
106,25022
1222,25003
1008,24958
2109,24664
931,24646
259,24032
3798,23916
708,23818
2733,23693
568,23663
361,23610
670,23585
567,23570
211,23537
2621,23537
1611,23528
113,23446
2708,23400
1160,23287
1636,23282
3569,23278
283,23227
2721,23221
1985,23207
2136,23198
2919,23155
780,23004
2107,22949
3571,22929
1020,22870
1684,22786
1118,22634
1610,22612
1184,22577
1721,22568
913,22565
114,22520
1674,22420
103,22383
2050,22287
275,22256
906,22244
1650,22153
2641,22141
2704,22077
704,22075
668,22063
1955,22023
631,22020
1209,21950
3780,21859
825,21852
746,21783
1019,21736
2720,21666
1355,21645
147,21631
2613,21582
146,21540
232,21529
2220,21486
1264,21464
2744,21385
2639,21376
418,21374
3501,21299
3541,21287
1173,21233
498,21228
1090,21209
154,21097
415,21068
1167,21040
914,21037
1293,21021
1191,21014
186,20910
284,20908
1024,20818
240,20817
1655,20796
634,20684
222,20654
245,20629
735,20587
2002,20559
2724,20495
183,20490
131,20484
726,20471
184,20429
2717,20425
3579,20419
3002,20374
648,20288
227,20282
1122,20143
458,20087
551,20070
3514,20039
293,20034
787,20016
419,19926
342,19900
1946,19834
276,19803
505,19663
3789,19636
2264,19618
2739,19604
393,19592
2623,19519
1106,19507
3575,19499
243,19494
1157,19447
383,19431
744,19345
1569,19342
175,19233
2646,19221
870,19175
278,19155
1653,19148
764,19102
302,19100
549,19078
3600,19070
1193,18992
2025,18948
1643,18932
2176,18916
2910,18908
797,18869
729,18843
1451,18831
781,18752
1011,18731
1867,18706
439,18689
1102,18677
2610,18635
1986,18595
280,18583
956,18540
2377,18513
1503,18493
1452,18492
1827,18450
3500,18447
3509,18434
1251,18400
1996,18373
3219,18317
512,18278
2076,18273
1199,18265
3570,18265
1218,18243
791,18233
1002,18189
1180,18144
3202,18132
1278,18095
370,18082
1010,18067
1197,18066
548,18065
1151,18051
1686,18032
1363,18028
1914,18011
641,18010
1512,18004
755,17980
1662,17937
779,17924
217,17910
2015,17901
2619,17896
677,17888
1332,17876
421,17848
1220,17839
1328,17813
3515,17792
4076,17763
1447,17692
1182,17685
1221,17676
574,17671
1231,17667
1321,17633
2632,17621
2824,17617
1244,17613
1103,17603
2301,17598
4029,17587
1120,17541
497,17530
3769,17423
2058,17380
3536,17371
1351,17358
734,17335
2601,17265
1243,17222
291,17217
612,17207
1084,17173
1029,17169
1132,17148
4217,17082
1531,17074
229,17047
3520,17022
630,17020
123,16983
2113,16977
659,16974
911,16949
576,16912
912,16910
2611,16889
2525,16884
4515,16838
1741,16834
1162,16829
2608,16812
287,16796
2921,16759
3410,16755
771,16718
2140,16713
2723,16708
1617,16706
362,16697
584,16683
133,16681
559,16670
2735,16652
1851,16601
613,16587
153,16581
614,16575
1449,16551
4768,16544
236,16543
2719,16512
206,16471
1163,16331
766,16315
1737,16287
1131,16268
194,16209
1616,16206
224,16193
2217,16180
1668,16167
409,16142
788,16125
723,16120
3504,16034
303,16015
514,16011
1669,16005
1077,15978
1203,15968
829,15947
3772,15943
3542,15935
4561,15918
107,15903
4571,15884
1232,15884
4452,15878
795,15852
680,15845
1150,15791
3559,15790
1248,15782
3904,15777
593,15767
1663,15758
609,15735
1688,15720
4483,15698
130,15644
1048,15626
4565,15602
1111,15568
837,15562
316,15535
268,15531
3517,15501
2013,15472
1119,15462
2135,15460
296,15451
1306,15450
2730,15427
1320,15420
1201,15404
1904,15391
1135,15383
2637,15355
1337,15329
4865,15325
4027,15319
794,15300
1720,15246
221,15243
1262,15231
148,15198
2255,15164
1438,15162
2340,15150
116,15117
588,15111
2647,15092
943,15070
786,15050
1529,15011
1078,14997
3421,14983
493,14981
643,14956
4509,14937
563,14929
1601,14915
950,14871
3788,14833
841,14822
249,14809
417,14797
2103,14782
1155,14771
1619,14701
702,14694
719,14673
1017,14655
539,14655
1384,14644
1297,14626
500,14623
4481,14596
933,14582
157,14579
1023,14578
182,14573
2106,14557
1047,14555
1126,14548
540,14539
244,14538
2628,14529
2222,14524
1656,14523
1381,14494
1195,14489
731,14480
1380,14479
1458,14478
213,14458
2080,14446
1172,14432
1282,14411
4457,14390
3784,14387
279,14371
1442,14359
2265,14298
1448,14283
1129,14280
126,14279
587,14256
542,14249
205,14246
2059,14233
1235,14213
308,14185
1140,14139
2615,14133
816,14123
3627,14098
363,14091
1988,14074
2230,14058
1022,14035
560,13991
2909,13990
1001,13968
1354,13960
754,13949
1912,13944
209,13940
426,13930
905,13921
508,13904
267,13900
2171,13890
4065,13826
1991,13825
660,13822
2638,13803
561,13794
1742,13789
3125,13756
203,13752
1246,13707
623,13705
305,13669
2913,13656
3778,13622
793,13618
1115,13617
2706,13606
1401,13589
4353,13577
3681,13564
2718,13536
257,13536
2000,13496
1834,13493
1369,13462
1076,13454
1336,13396
176,13388
1433,13373
1530,13369
108,13368
290,13356
796,13351
1901,13350
2912,13349
521,13348
2630,13337
1215,13336
226,13321
1738,13309
860,13279
501,13259
438,13248
1605,13230
340,13225
1824,13217
2342,13195
1319,13181
1661,13177
915,13160
573,13146
2618,13141
722,13132
2915,13127
773,13119
414,13113
3119,13096
3513,13085
3009,13061
635,13054
582,13054
487,13054
3586,13046
1689,13011
3413,13003
1212,12959
1021,12942
3506,12938
1169,12925
3566,12903
2635,12895
2801,12894
1175,12893
2348,12892
4121,12870
1192,12866
119,12862
1683,12848
1977,12837
3759,12820
2729,12809
2653,12807
1127,12787
